Therapeutic_Properties,Evidence_Level,Data_Quality_Score,Data_Source,Interaction_ID,Target_Name,Herb_Name,Compound_Name,Ki_nM,Is_Synthetic,IC50_nM,Species,Confidence_Score,Action_Type
"antioxidant, neuroprotective, metabolism_booster",experimental,0.96,BindingDB_Real,d6a2d0fa6d188c43,Alpha-amylase 1A,Green Tea,catechin,,0,,,,
"antioxidant, neuroprotective, metabolism_booster",experimental,0.96,BindingDB_Real,8aa02f1c0c2761c6,Alpha-amylase 1A,Green Tea,epicatechin,,0,,,,
"adaptogenic, anti-inflammatory, immunomodulatory",experimental,0.96,BindingDB_Real,7dcd9f3e6e36201b,Cyclin homolog/dependent kinase 6,Holy Basil,apigenin,,0,1700.0,,,
"adaptogenic, anti-inflammatory, immunomodulatory",experimental,0.96,BindingDB_Real,88095c0ee5a7275c,Cyclin-dependent kinase 5 activator 1 [99-307],Holy Basil,apigenin,,0,1600.0,,,
"adaptogenic, anti-inflammatory, immunomodulatory",experimental,0.96,BindingDB_Real,5b37c81c0cd751af,Cyclin-dependent kinase 1/G2/mitotic-specific cyclin-B,Holy Basil,apigenin,,0,4000.0,,,
"adaptogenic, anti-inflammatory, immunomodulatory",experimental,0.96,BindingDB_Real,be629384ad26be15,Glycogen synthase kinase-3 beta,Holy Basil,apigenin,,0,1400.0,,,
"adaptogenic, anti-inflammatory, immunomodulatory",experimental,0.96,BindingDB_Real,12bf759691c4a56b,Casein kinase II subunit alpha,Holy Basil,apigenin,740.0,0,,,,
"adaptogenic, anti-inflammatory, immunomodulatory",experimental,0.96,BindingDB_Real,7cd14b4b1cafc090,"Glycogen phosphorylase, muscle form",Holy Basil,ursolic acid,,0,9000.0,,,
"adaptogenic, anti-inflammatory, immunomodulatory",experimental,0.96,BindingDB_Real,7cd14b4b1cafc090,"Glycogen phosphorylase, muscle form",Holy Basil,ursolic acid,,0,19000.0,,,
"adaptogenic, anti-inflammatory, immunomodulatory",experimental,0.96,BindingDB_Real,7cd14b4b1cafc090,"Glycogen phosphorylase, muscle form",Holy Basil,ursolic acid,,0,97000.0,,,
"adaptogenic, anti-inflammatory, immunomodulatory",experimental,0.96,BindingDB_Real,6bb111058c1d6df4,Alpha-amylase 1A,Holy Basil,apigenin,,0,,,,
"adaptogenic, anti-inflammatory, immunomodulatory",experimental,0.96,BindingDB_Real,738c58d4aa3b502f,Serine/threonine-protein kinase pim-1,Holy Basil,apigenin,,0,940.0,,,
"anti-inflammatory, immunomodulatory, hepatoprotective",experimental,0.96,BindingDB_Real,dbae0ad4fe1a680c,"Glycogen phosphorylase, muscle form",Licorice,glycyrrhizin,,0,822000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,110000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,26000.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,5500.0,,,
"hypoglycemic, anti-inflammatory, antimicrobial",experimental,0.96,BindingDB_Real,c6c886146d06cec6,Dimer of Gag-Pol polyprotein [489-587],Cinnamon,coumarin,,0,13000.0,,,
